Attention,Meditation,Delta,Theta,LowAlpha,HighAlpha,LowBeta,HighBeta,LowGamma,MidGamma,Label
26,60,779116,67768,30950,21979,16497,16726,12656,190941,back
26,60,779116,67768,30950,21979,16497,16726,12656,190941,back
26,60,779116,67768,30950,21979,16497,16726,12656,190941,back
26,60,779116,67768,30950,21979,16497,16726,12656,190941,back
26,60,779116,67768,30950,21979,16497,16726,12656,190941,back
26,60,779116,67768,30950,21979,16497,16726,12656,190941,back
26,60,779116,67768,30950,21979,16497,16726,12656,190941,back
26,60,779116,67768,30950,21979,16497,16726,12656,190941,back
26,60,779116,67768,30950,21979,16497,16726,12656,190941,back
26,60,779116,67768,30950,21979,16497,16726,12656,190941,back
26,60,779116,67768,30950,21979,16497,16726,12656,190941,back
26,60,779116,67768,30950,21979,16497,16726,12656,190941,back
26,60,779116,67768,30950,21979,16497,16726,12656,190941,back
26,60,779116,67768,30950,21979,16497,16726,12656,190941,back
26,60,779116,67768,30950,21979,16497,16726,12656,190941,back
26,60,779116,67768,30950,21979,16497,16726,12656,190941,back
26,60,779116,67768,30950,21979,16497,16726,12656,190941,back
26,60,779116,67768,30950,21979,16497,16726,12656,190941,back
26,60,779116,67768,30950,21979,16497,16726,12656,190941,back
26,60,779116,67768,30950,21979,16497,16726,12656,190941,back
40,70,2061719,131292,55172,10943,24016,13074,5054,177576,back
40,70,2061719,131292,55172,10943,24016,13074,5054,177576,back
40,70,2061719,131292,55172,10943,24016,13074,5054,177576,back
40,70,2061719,131292,55172,10943,24016,13074,5054,177576,back
40,70,2061719,131292,55172,10943,24016,13074,5054,177576,back
40,70,2061719,131292,55172,10943,24016,13074,5054,177576,back
40,70,2061719,131292,55172,10943,24016,13074,5054,177576,back
40,70,2061719,131292,55172,10943,24016,13074,5054,177576,back
40,70,2061719,131292,55172,10943,24016,13074,5054,177576,back
40,70,2061719,131292,55172,10943,24016,13074,5054,177576,back
40,70,2061719,131292,55172,10943,24016,13074,5054,177576,back
40,70,2061719,131292,55172,10943,24016,13074,5054,177576,back
40,70,2061719,131292,55172,10943,24016,13074,5054,177576,back
40,70,2061719,131292,55172,10943,24016,13074,5054,177576,back
40,70,2061719,131292,55172,10943,24016,13074,5054,177576,back
40,70,2061719,131292,55172,10943,24016,13074,5054,177576,back
40,70,2061719,131292,55172,10943,24016,13074,5054,177576,back
40,70,2061719,131292,55172,10943,24016,13074,5054,177576,back
40,70,2061719,131292,55172,10943,24016,13074,5054,177576,back
40,70,2061719,131292,55172,10943,24016,13074,5054,177576,back
30,80,1870369,191432,103420,52708,25713,21381,9033,176039,back
30,80,1870369,191432,103420,52708,25713,21381,9033,176039,back
30,80,1870369,191432,103420,52708,25713,21381,9033,176039,back
30,80,1870369,191432,103420,52708,25713,21381,9033,176039,back
30,80,1870369,191432,103420,52708,25713,21381,9033,176039,back
30,80,1870369,191432,103420,52708,25713,21381,9033,176039,back
30,80,1870369,191432,103420,52708,25713,21381,9033,176039,back
30,80,1870369,191432,103420,52708,25713,21381,9033,176039,back
30,80,1870369,191432,103420,52708,25713,21381,9033,176039,back
30,80,1870369,191432,103420,52708,25713,21381,9033,176039,back
30,80,1870369,191432,103420,52708,25713,21381,9033,176039,back
30,80,1870369,191432,103420,52708,25713,21381,9033,176039,back
30,80,1870369,191432,103420,52708,25713,21381,9033,176039,back
30,80,1870369,191432,103420,52708,25713,21381,9033,176039,back
30,80,1870369,191432,103420,52708,25713,21381,9033,176039,back
30,80,1870369,191432,103420,52708,25713,21381,9033,176039,back
30,80,1870369,191432,103420,52708,25713,21381,9033,176039,back
30,80,1870369,191432,103420,52708,25713,21381,9033,176039,back
30,80,1870369,191432,103420,52708,25713,21381,9033,176039,back
30,80,1870369,191432,103420,52708,25713,21381,9033,176039,back
48,96,114009,21303,18315,16095,5701,2630,1502,62516,back
48,96,114009,21303,18315,16095,5701,2630,1502,62516,back
48,96,114009,21303,18315,16095,5701,2630,1502,62516,back
48,96,114009,21303,18315,16095,5701,2630,1502,62516,back
48,96,114009,21303,18315,16095,5701,2630,1502,62516,back
48,96,114009,21303,18315,16095,5701,2630,1502,62516,back
48,96,114009,21303,18315,16095,5701,2630,1502,62516,back
48,96,114009,21303,18315,16095,5701,2630,1502,62516,back
48,96,114009,21303,18315,16095,5701,2630,1502,62516,back
48,96,114009,21303,18315,16095,5701,2630,1502,62516,back
48,96,114009,21303,18315,16095,5701,2630,1502,62516,back
48,96,114009,21303,18315,16095,5701,2630,1502,62516,back
48,96,114009,21303,18315,16095,5701,2630,1502,62516,back
48,96,114009,21303,18315,16095,5701,2630,1502,62516,back
48,96,114009,21303,18315,16095,5701,2630,1502,62516,back
48,96,114009,21303,18315,16095,5701,2630,1502,62516,back
48,96,114009,21303,18315,16095,5701,2630,1502,62516,back
48,96,114009,21303,18315,16095,5701,2630,1502,62516,back
48,96,114009,21303,18315,16095,5701,2630,1502,62516,back
24,70,791138,165926,3453,5027,5071,3506,1057,47183,back
24,70,791138,165926,3453,5027,5071,3506,1057,47183,back
24,70,791138,165926,3453,5027,5071,3506,1057,47183,back
24,70,791138,165926,3453,5027,5071,3506,1057,47183,back
24,70,791138,165926,3453,5027,5071,3506,1057,47183,back
24,70,791138,165926,3453,5027,5071,3506,1057,47183,back
24,70,791138,165926,3453,5027,5071,3506,1057,47183,back
24,70,791138,165926,3453,5027,5071,3506,1057,47183,back
24,70,791138,165926,3453,5027,5071,3506,1057,47183,back
